name,cnt,location
西岸艺术中心,176,"121.461500,31.167394"
上海世贸商城,127,"121.402221,31.202805"
东画廊,92,"121.452430,31.211089"
朱屺瞻艺术馆,90,"121.486177,31.274318"
上海多伦现代美术馆,86,"121.483318,31.261864"
上海当代艺术博物馆,76,"121.497777,31.201666"
柯恩画廊（上海）,70,"121.451700,31.205003"
chi K11美术馆 (上海),68,"121.473630,31.224370"
五五画廊（上海）,66,"121.449076,31.247566"
上海美术馆,65,"121.470627,31.231209"
上海民生现代美术馆,54,"121.479162,31.184820"
上海大学美术学院99创意中心,51,"121.448946,31.247894"
Vanguard 画廊,49,"121.449076,31.247566"
全摄影画廊,49,"121.449746,31.247648"
龙美术馆（西岸馆）,49,"121.464161,31.183796"
沪申画廊（外滩三号）,45,"121.490816,31.234109"
周围艺术画廊,42,"121.489410,31.233036"
M艺术空间,36,"121.449143,31.247993"
上海喜玛拉雅美术馆,36,"121.562140,31.208940"
Art Labor画廊,33,"121.451337,31.205813"
上海当代艺术馆,33,"121.472986,31.232792"
外滩18号画廊（上海）,32,"121.489790,31.238440"
视界艺术中心（2空间）,32,"121.449152,31.248468"
非青计划（上海）,32,"121.461376,31.216368"
香格纳H空间,32,"121.450058,31.248503"
艺术+ 上海画廊,31,"121.486351,31.243351"
熏依社画廊（上海）（已搬迁）,30,"121.448995,31.247302"
香地艺术中心,30,"121.448995,31.247302"
香格纳画廊（M50）,30,"121.449313,31.248250"
上海新时线媒体艺术中心,29,"121.450058,31.248503"
八大画廊（上海）,29,"121.450058,31.248503"
天线空间,29,"121.449856,31.248089"
上午艺术空间,28,"121.462063,31.232052"
上海外滩美术馆,28,"121.487525,31.241262"
上海当代艺术馆艺术亭台,27,"121.472986,31.232792"
一个艺术,26,"121.449746,31.247648"
上海华府艺术空间,25,"121.448814,31.247945"
其他画廊（上海空间）,25,"121.448927,31.247564"
M97画廊,24,"121.448650,31.236500"
S.O艺术空间（上海）,24,"121.448995,31.247302"
Magda Danysz画廊（上海）,23,"121.543150,31.264572"
J画廊,22,"121.449856,31.248089"
Leo Xu Projects,22,"121.445436,31.210162"
博雅珊艺术中心,22,"121.438340,31.210788"
双城现代手工艺术馆,22,"121.465466,31.210212"
蒙田画廊,22,"121.447650,31.248300"
余德耀美术馆,20,"121.462242,31.170670"
格蕊莉画廊,20,"121.450058,31.248503"
证大当代艺术空间,20,"121.547959,31.308177"
艾可画廊（上海）,19,"121.448196,31.247637"
视界艺术中心（1空间）,19,"121.448995,31.247302"
思南公馆,17,"121.470052,31.215484"
没顶画廊,17,"121.461670,31.173740"
ARTWE虚拟美术馆,16,"121.407550,31.177223"
九十九度艺术中心（上海）,16,"121.447157,31.248556"
德玉堂,16,"121.488133,31.241932"
芥菜籽空间,16,"121.449076,31.247566"
Loftooo艺术空间,15,"121.449152,31.248468"
OCAT当代艺术中心上海馆,15,"121.473105,31.241363"
Pantocrator Gallery,15,"121.449420,31.247706"
上海艺博画廊【已搬迁】,15,"121.424072,31.198459"
望东艺集,15,"121.463713,31.209084"
22画廊.新华双空间,14,"121.419583,31.205075"
爱普生影艺坊（上海）,14,"121.449490,31.247619"
龙美术馆（浦东馆）,14,"121.574088,31.215790"
C14画廊,13,"121.442827,31.206094"
玉衡艺术中心,13,"121.449152,31.248468"
亚洲当代艺术空间,12,"121.449490,31.247619"
候台画廊,12,"121.449152,31.248468"
凤凰艺都上海红坊艺术空间,12,"121.424072,31.198459"
歌德开放空间,12,"121.484259,31.234656"
阿拉里奥画廊（上海）,12,"121.439710,31.195840"
Mao Space(静安嘉里中心),11,"121.449838,31.223524"
三月空间,2,"121.449152,31.248468"
上海东廊艺术画廊,11,"121.449152,31.248468"
上海油画雕塑院,11,"121.400293,31.198928"
张江当代艺术馆,11,"121.584903,31.201649"
杜若云章画廊（上海）,11,"121.452917,31.206292"
艾可画廊（上海2）,11,"121.449826,31.248245"
ArtCN画廊,10,"121.464556,31.241760"
